tree_id,human_decision,human_note,human_pom_m,human_diameter_cm,included_by_reviewer,learned_keep_score,prediction_source,suggestion,measurement_status,measurement_diameter_cm,measurement_pom_m,suggested_pom_m,diagnostic_diameter_cm,diagnostic_failures,refit_url,field_verified,eligible_for_automatic_biomass
TREE_0103,KEEP,,,,True,0.925072,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.1,8.0818397,"[""AXIS_NOT_BRACKETED_BY_OBSERVATIONS"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0104,KEEP,,,,True,0.840794,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.2,13.9894704,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""INCOMPLETE_ANGULAR_SUPPORT"", ""LARGE_UNOBSERVED_SECTOR"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0105,KEEP,,,,True,0.956903,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.5,8.307945,"[""SENSITIVITY_VARIANT_FAILS_GEOMETRY""]",,False,False
TREE_0106,REJECT,,,,False,0.096782,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0107,KEEP,,,,True,0.968018,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.0,3.0838444,"[""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0108,KEEP,,,,True,0.896891,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.5,5.052244,"[""AXIS_CENTERS_INCONSISTENT"", ""HIGH_RELATIVE_RESIDUAL"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0109,REJECT,,,,False,0.020214,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0110,KEEP,,,,True,0.907006,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,1.8,5.1189499,"[""AXIS_CENTERS_INCONSISTENT"", ""AXIS_IDENTITY_SHIFT"", ""AXIS_MODEL_DISAGREEMENT"", ""CONTINUITY_REQUIRES_THREE_LEVELS"", ""HIGH_RELATIVE_RESIDUAL"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0111,REJECT,,,,False,0.131276,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0112,KEEP,,,,True,0.93325,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.6,2.5001217,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""HIGH_RELATIVE_RESIDUAL"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0113,EDIT,ลองขยับไปที่ 2.5 m จะชัดเจนกว่า,2.5,,True,0.862628,UNLABELLED_FOR_BINARY_MODEL,KEEP,MANUAL_REVIEW,,,2.5,17.294359,"[""GROUND_SPATIALLY_UNSTABLE"", ""INCOMPLETE_ANGULAR_SUPPORT"", ""INDEPENDENT_ELLIPSE_DISAGREES"", ""LARGE_UNOBSERVED_SECTOR"", ""MIXED_OR_NONCIRCULAR_SECTION"", ""STABILITY_NOT_TESTED""]",data/learning/refits/TREE_0113.json,False,False
TREE_0114,REJECT,,,,False,0.057054,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0115,REJECT,,,,False,0.037895,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0116,REJECT,,,,False,0.030366,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
TREE_0117,KEEP,,,,True,0.92472,SPATIALLY_HELD_OUT,KEEP,MANUAL_REVIEW,,,2.2,12.7099379,"[""CONNECTED_STEM_RADIUS_UNSTABLE"", ""INCOMPLETE_ANGULAR_SUPPORT"", ""NOT_TESTED_GEOMETRY_OR_AXIS_GROUND_FAILED""]",,False,False
TREE_0118,REJECT,,,,False,0.04688,SPATIALLY_HELD_OUT,REJECT,MANUAL_REVIEW,,,,,[],,False,False
